,song,artist
0,Margaritaville,Jimmy Buffett
1,Come Monday,Jimmy Buffett
2,Rich Men North of Richmond,Oliver Anthony Music
3,Cheeseburger In Paradise,Jimmy Buffett
4,"Changes In Latitudes, Changes In Attitudes",Jimmy Buffett
5,All Star,Smash Mouth
6,Paint The Town Red,Doja Cat
7,I Remember Everything (feat. Kacey Musgraves),Zach Bryan
8,A Pirate Looks at Forty,Jimmy Buffett
9,It's Five O'Clock Somewhere (Live),Jimmy Buffett
10,Fast Car,Luke Combs
11,Lil Boo Thang,Paul Russell
12,Son of a Son of a Sailor,Jimmy Buffett
13,Last Time I Saw You,Nicki Minaj
14,Used To Be Young,Miley Cyrus
15,Cruel Summer,Taylor Swift
16,Try That In A Small Town,Jason Aldean
17,Last Night,Morgan Wallen
18,I Want to go Home,Oliver Anthony Music
19,Need A Favor,Jelly Roll
20,Fins,Jimmy Buffett
21,Dance The Night,Dua Lipa
22,Walkin' On the Sun,Smash Mouth
23,White Horse,Chris Stapleton
24,Watermelon Moonshine,Lainey Wilson
25,Southern Cross (Live),Jimmy Buffett
26,90 some Chevy,Oliver Anthony Music
27,I'm a Believer,Smash Mouth
28,Walkin' on the Sun,Smash Mouth
29,Why Don't We Get Drunk,Jimmy Buffett
30,Dream Weaver,Gary Wright
31,It's Five O'Clock Somewhere (with Jimmy Buffett),Alan Jackson
32,Thinkin’ Bout Me,Morgan Wallen
33,Save Me (with Lainey Wilson),Jelly Roll
34,All Star,Smash Mouth
35,Aint Gotta Dollar,Oliver Anthony Music
36,Flowers,Miley Cyrus
37,Brown Eyed Girl (Live),Jimmy Buffett
38,Volcano,Jimmy Buffett
39,Religiously,Bailey Zimmerman
40,Walkin' On the Sun,Smash Mouth
41,Rockstar,Nickelback
42,Keep Going Up,"Timbaland, Nelly Furtado & Justin Timberlake"
43,Indiana Jones,Wayland
44,Used To Be Young,Miley Cyrus
45,Dreams,Fleetwood Mac
46,Calm Down,Rema & Selena Gomez
47,Lose Control,Teddy Swims
48,Latinos For Trump,Trump Latinos
49,Trip Around the Sun,Jimmy Buffett & Martina McBride
50,vampire,Olivia Rodrigo
51,Southern Cross,"Crosby, Stills & Nash"
52,A Symptom Of Being Human,Shinedown
53,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
54,Beat You There,Will Dempsey
55,Have You Ever Seen the Rain,Creedence Clearwater Revival
56,Son Of A Sinner,Jelly Roll
57,He Went to Paris,Jimmy Buffett
58,Love Is Alive,Gary Wright
59,Knee Deep (feat. Jimmy Buffett) [Greatest Hits Version],Zac Brown Band
60,How You Remind Me,Nickelback
61,I'm a Believer (Radio),Smash Mouth
62,Far Away,Nickelback
63,Love You Anyway,Luke Combs
64,Forever Young,Rod Stewart
65,Brown Eyed Girl,Jimmy Buffett
66,Anti-Hero,Taylor Swift
67,Single Soon,Selena Gomez
68,Ive Got to Get Sober,Oliver Anthony Music
69,TRUCK BED,HARDY
70,Enter Sandman,Metallica
71,One Particular Harbour,Jimmy Buffett
72,Come Monday,Jimmy Buffett
73,Hard to Say I'm Sorry / Get Away,Chicago
74,In Your Love,Tyler Childers
75,Photograph,Nickelback
76,Tennessee Whiskey,Chris Stapleton
77,I'll Stand By You,Pretenders
78,You're the Inspiration,Chicago
79,Something in the Orange (Z&E's Version),Zach Bryan
80,Barbie World (with Aqua),Nicki Minaj & Ice Spice
81,Bury Me in Georgia (Single Edit),Kane Brown
82,I Want To Go Home (live),Oliver Anthony Music
83,Everything I Love,Morgan Wallen
84,Gypsy,Fleetwood Mac
85,We Didn’t Start The Fire,Fall Out Boy
86,Thought You Should Know,Morgan Wallen
87,Rhiannon,Fleetwood Mac
88,Unstoppable,Sia
89,august,Taylor Swift
90,Daylight,David Kushner
91,Heart Like A Truck,Lainey Wilson
92,Dial Drunk,Noah Kahan & Post Malone
93,Snooze,SZA
94,Boat Drinks,Jimmy Buffett
95,Can't Get Enough of You Baby,Smash Mouth
96,Spirit In the Sky,Norman Greenbaum
97,bad idea right?,Olivia Rodrigo
98,Whiteboyz,Tom MacDonald & Adam Calhoun
99,Bring Me to Life,Evanescence
100,Refrain,Lys Assia
101,Net als toen,Corry Brokken
102,"Dors, mon amour",André Claveau
103,'n Beetje,Teddy Scholten
104,Tom Pillibi,Jacqueline Boyer
105,Nous les amoureux,Chevalier de Villemont
106,Un premier amour,Isabelle Aubret
107,Dansevise,Grethe
108,Non ho l'età,Gigliola Cinquetti
109,"Poupée de cire, poupée de son",France Gall
110,"Merci, Chérie",Udo Jürgens
111,Puppet on a String,Sandie Shaw
112,"La, la, la",Massiel
113,Vivo cantando,Salomé
114,Boom Bang-a-Bang,Lulu
115,De troubadour,Lenny Kuhr
116,"Un jour, un enfant",Frida Boccara
117,All Kinds of Everything,Dana Rosemary Scallon
118,"Un banc, un arbre, une rue",Séverine
119,Après Toi,Vicky Leandros
120,Tu te reconnaîtras,Anne-Marie David
121,Waterloo,Benny Andersson
122,Ding-a-dong,Teach-In
123,Save Your Kisses for Me,Martin Lee
124,L'Oiseau et l'Enfant,Marie Myriam
125,A-Ba-Ni-Bi,Izhar Cohen
126,Hallelujah,Milk and Honey
127,What's Another Year,Johnny Logan
128,Making Your Mind Up,Bobby G
129,Ein bißchen Frieden,Nicole
130,Si la vie est cadeau,Corinne Hermès
131,Diggi-Loo Diggi-Ley,Herrey's
132,Let It Swing/La det swinge,Hanne Krogh
133,J'aime la vie,Sandra Kim
134,Hold Me Now,Johnny Logan
135,Ne partez pas sans moi,Celine Dion
136,Rock Me,Riva
137,Insieme: 1992,Toto Cutugno
138,Fångad av en stormvind,Carola Häggkvist
139,Why Me?,Linda Martin
140,In Your Eyes,Niamh Kavanagh
141,Rock 'n' Roll Kids,Paul Harrington
142,Nocturne,Fionnuala Sherry
143,The Voice,Eimear Quinn
144,Love Shine a Light,Katrina Leskanich
145,Diva,Dana International
146,Take Me to Your Heaven,Charlotte Nilsson
147,Fly on the Wings of Love,Olsen Brothers
148,Everybody,Tanel Padar
149,I Wanna,Marie N
150,Everyway That I Can,Sertab Erener
151,Wild Dances,Ruslana
152,My Number One,Helena Paparizou
153,Hard Rock Hallelujah,Lordi
154,Molitva,Marija Šerifović
155,Believe,Dima Bilan
156,Fairytale,Alexander Rybak
157,Satellite,Lena Meyer-Landrut
158,Running Scared,Eldar & Nigar
159,Euphoria,Loreen
160,Only Teardrops,Emmelie de Forest
161,Rise Like a Phoenix,Conchita Wurst
162,Heroes,Måns Zelmerlöw
163,1944,Jamala
164,Amar pelos dois,Salvador Sobral
165,Toy,Netta
166,Arcade,Duncan Laurence
167,Zitti e buoni,Måneskin
168,Stefania,Kalush Orchestra
169,Tattoo,Loreen
